"gender","Age","Attitude","deep","Surf","Stra","Points"
"F",53,3.7,3.58333333333333,2.58333333333333,3.375,25
"M",55,3.1,2.91666666666667,3.16666666666667,2.75,12
"F",49,2.5,3.5,2.25,3.625,24
"M",53,3.5,3.5,2.25,3.125,10
"M",49,3.7,3.66666666666667,2.83333333333333,3.625,22
"F",38,3.8,4.75,2.41666666666667,3.625,21
"M",50,3.5,3.83333333333333,1.91666666666667,2.25,21
"F",37,2.9,3.25,2.83333333333333,4,31
"M",37,3.8,4.33333333333333,2.16666666666667,4.25,24
"F",42,2.1,4,3,3.5,26
"M",37,3.9,3.58333333333333,2.66666666666667,3.625,31
"F",34,3.8,3.83333333333333,2.41666666666667,4.75,31
"F",34,2.4,4.25,2.25,3.625,23
"F",34,3,3.33333333333333,2.75,3.5,25
"M",35,2.6,4.16666666666667,2.33333333333333,1.75,21
"F",33,4.1,3.66666666666667,2.33333333333333,3.875,31
"F",32,2.6,4.08333333333333,2.91666666666667,1.375,20
"F",44,2.6,3.5,2.5,3.25,22
"M",29,1.7,4.08333333333333,3.75,3,9
"F",30,2.7,4,2.75,3.75,24
"M",27,3.9,3.91666666666667,2.33333333333333,2.625,28
"M",29,3.4,4,2.41666666666667,2.375,30
"F",31,2.7,4,3,3.625,24
"F",37,2.3,3.66666666666667,2.41666666666667,2.75,9
"F",26,3.7,3.66666666666667,2.83333333333333,1.75,26
"F",26,4.4,4.41666666666667,3.16666666666667,3.25,32
"M",30,4.1,3.91666666666667,3,4,32
"F",33,3.7,3.75,2,3.625,33
"F",33,2.5,3.25,3.5,2.875,29
"M",28,3,3.58333333333333,3.75,3,30
"M",26,3.4,4.91666666666667,2.5,1.625,19
"F",27,3.2,3.58333333333333,2.08333333333333,3.25,23
"F",25,2,2.91666666666667,2.41666666666667,3.5,19
"F",31,2.4,3.66666666666667,2.58333333333333,3,12
"M",20,4.2,4.5,1.58333333333333,3.25,10
"F",39,1.6,4.08333333333333,2.83333333333333,1.875,11
"M",38,3.1,3.83333333333333,1.83333333333333,4.375,20
"M",24,3.8,3.25,2.41666666666667,3.625,26
"M",26,3.8,2.33333333333333,3.25,2.5,31
"M",25,3.3,3.33333333333333,3.41666666666667,1.25,20
"F",30,1.7,4.08333333333333,3.41666666666667,4,23
"F",25,2.5,2.91666666666667,3.16666666666667,3,12
"M",30,3.2,3.33333333333333,3.5,2.5,24
"F",48,3.5,3.83333333333333,2.66666666666667,4.875,17
"F",24,3.2,3.66666666666667,2.41666666666667,5,29
"F",40,4.2,4.66666666666667,3.58333333333333,4.375,23
"M",25,3.1,3.75,2.08333333333333,3.25,28
"F",23,3.9,3.41666666666667,3.75,4,31
"F",25,1.9,4.16666666666667,2.91666666666667,3.125,23
"F",23,2.1,2.91666666666667,2.91666666666667,2.5,25
"M",27,2.5,4.16666666666667,2.41666666666667,3.125,18
"M",25,3.2,3.58333333333333,3,3.25,19
"M",23,3.2,2.83333333333333,3.41666666666667,2.125,22
"F",23,2.6,4,2.91666666666667,2.75,25
"F",23,2.3,2.91666666666667,3.25,2.375,21
"F",45,3.8,3,3.25,3.125,9
"F",22,2.8,4.08333333333333,2.33333333333333,4,28
"F",23,3.3,2.91666666666667,3.25,4,25
"M",21,4.8,3.5,2.5,2.25,29
"M",21,4,4.33333333333333,1.75,3.25,33
"F",21,4,4.25,2.25,3.625,33
"F",21,4.7,3.41666666666667,2.08333333333333,3.625,25
"F",26,2.3,3.08333333333333,2.83333333333333,2.5,18
"F",25,3.1,4.58333333333333,2.83333333333333,1.875,22
"F",26,2.7,3.41666666666667,2.41666666666667,2,17
"M",21,4.1,3.41666666666667,2.25,1.875,25
"F",23,3.4,3.41666666666667,2.83333333333333,4,28
"F",22,2.5,3.58333333333333,2.25,2.875,22
"F",22,2.1,1.58333333333333,1.83333333333333,3.875,26
"F",22,1.4,3.33333333333333,2.91666666666667,2.5,11
"F",23,1.9,4.33333333333333,2.91666666666667,2.75,29
"M",22,3.7,4.41666666666667,2.08333333333333,4.5,22
"M",23,3.2,4.83333333333333,2.33333333333333,3.375,21
"M",24,2.8,3.08333333333333,2.41666666666667,2.625,28
"F",22,4.1,3,2.75,4.125,33
"F",23,2.5,4.08333333333333,3.25,2.625,16
"M",22,2.8,4.08333333333333,1.75,2.25,31
"M",20,3.8,3.75,2.58333333333333,2.75,22
"M",22,3.1,3.08333333333333,3.33333333333333,3,31
"M",21,3.5,4.75,2.83333333333333,1.625,23
"F",22,3.6,4.25,2.5,1.875,26
"F",23,2.6,4.16666666666667,2.41666666666667,3.375,12
"M",21,4.4,4.41666666666667,2.41666666666667,3.75,26
"M",22,4.5,3.83333333333333,2.58333333333333,2.125,31
"M",29,3.2,3.33333333333333,3,2.375,19
"F",29,3.9,3.16666666666667,2,2.75,30
